name,rating,price,restaurant_type,description,address,google_maps_url,reviews_url,reviews
L'Aubergeade,4.8,€30–40,Restaurant,"Typical, cozy bistro focusing on traditional French dishes like steak tartare, plus seafood.","17 Rue Chaligny, 75012 Paris, France","https://www.google.fr/maps/place/L'Aubergeade/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e6720de79a84c1:0x7d91161ddaf778d9!8m2!3d48.8465653!4d2.3834896!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1thtnxmh?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D","https://www.google.fr/maps/place/L'Aubergeade/@48.8756901,2.3169646,15090m/data=!3m1!1e3!4m12!1m2!2m1!1srestaurant+paris+12!3m8!1s0x47e6720de79a84c1:0x7d91161ddaf778d9!8m2!3d48.8465653!4d2.3834896!9m1!1b1!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1thtnxmh?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D","[""Un sans faute pour l'Aubergeade. Nous nous y sommes rendus pour un dîner en famille et nous n'aurions pas pu rêver mieux. Au-delà de la cuisine, qui est absolument exquise, c'est une expérience à part entière. Le cadre est chaleureux, …"", ""Superbe petit restaurant chaleureux. Les prix sont bien plus que raisonnables au vu de la qualité et la quantité des produits. Nous nous sommes régalés de l'entrée au dessert. Le service est souriant et convivial et l'ambiance très agréable."", ""Excellente découverte ! Resto qui ne paie pas de mine de l'extérieur, mais cuisine délicieuse et service ultra chaleureux ! 👍 …"", 'Une très belle expérience dans ce restaurant qui offre une cuisine de qualité, à la fois simple et maîtrisée. Ici, tout est pensé pour passer un agréable moment : des plats savoureux et bien exécutés, un service attentif et un cadre …', 'Nous avons passé une très agréable soirée dans ce petit restaurant très locale.\nLe staff est simplement adorable et ils nous ont également offert un verre puisqu’ils avaient du retard en la préparation de notre table (c’était full). Pour ne …']"
La Cantine de daumesnil - restaurant paris 12,4.3,€20–30,Restaurant,,"119 Rue de Reuilly, 75012 Paris, France","https://www.google.fr/maps/place/La+Cantine+de+daumesnil+-+restaurant+paris+12/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e6726ea231f92d:0xfdaef9dd59e2628a!8m2!3d48.8412193!4d2.3942449!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1td2lt9t?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D","https://www.google.fr/maps/place/La+Cantine+de+daumesnil+-+restaurant+paris+12/@48.8756901,2.3169646,15090m/data=!3m1!1e3!4m12!1m2!2m1!1srestaurant+paris+12!3m8!1s0x47e6726ea231f92d:0xfdaef9dd59e2628a!8m2!3d48.8412193!4d2.3942449!9m1!1b1!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1td2lt9t?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D","['Je conseille pour les amoureux des plats antillais mais pas que, la carte est bien variée. L’équipe est sympa. Déco ambiance 70/80. Je recommande.-', 'Bistrot Parisien complètement atypique. Une déco originale qui  mêle humour décapant et souvenirs récoltés dans les tiroirs des années 70/80? Avec des pépites....trop drôle. …', 'Je suis venue dans ce restaurant avec quatre personnes, et nous avons tous passé un excellent moment. Le burger est bien préparés et généreux. Le rapport qualité-prix est tout à fait correct, environ 20€ par personne, ce qui est raisonnable …', 'L’ambiance est agréable très jolie déco insolite, personnel aux petits soins. J’ai adoré la petite assiette de tapas. Mes amies on prit des burgers qui étaient assez copieux. J’y retournerai au plus vite!', 'Après une promenade le long de la coulée verte, il est déjà 13h, et nous cherchons sur le chemin un restaurant ouvert pour déjeuner un dimanche pendant les fêtes. …']"
Le Picotin,4.5,€20–40,French restaurant,"Classic fare plated in a homey, relaxed setting with a charming wall mural & weekly live jazz.","35 Rue Sibuet, 75012 Paris, France","https://www.google.fr/maps/place/Le+Picotin/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e672651e721cf3:0xf4ee10dd34e61164!8m2!3d48.8434703!4d2.4022776!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSARFmcmVuY2hfcmVzdGF1cmFudOABAA!16s%2Fg%2F1tj2b9vf?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D","https://www.google.fr/maps/place/Le+Picotin/@48.8756901,2.3169646,15090m/data=!3m1!1e3!4m12!1m2!2m1!1srestaurant+paris+12!3m8!1s0x47e672651e721cf3:0xf4ee10dd34e61164!8m2!3d48.8434703!4d2.4022776!9m1!1b1!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSARFmcmVuY2hfcmVzdGF1cmFudOABAA!16s%2Fg%2F1tj2b9vf?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D","['Restaurant caché dans une ruelle calme.\nLes serveurs sont aimables et à votre écoute. Un peu stressés toutefois je suppose pour répondre rapidement à tout le monde et voulant bien faire. Le service …', 'Très bonne adresse.\nAccueil et réservation bien.\nService parfait. …', 'Très bonne cuisine, rafraîchissante et originale, avec des produits de saison. On sent que tout est fait sur place. Et un super service pour couronner le tout ! …', ""Un bistro parisien authentique avec des plats faits avec des produits frais et de qualité. La carte change régulièrement !\nL'ambiance est chaleureuse ! On se sent bien 😊 …"", 'Complètement séduits par le menu, la qualité des produits, la cuisine et surtout l’amabilité du personnel. Les portions sont bien copieuses pour un prix très correct. …']"
L'Alchimiste,4.7,€20–30,French restaurant,,"181 Rue de Charenton, 75012 Paris, France","https://www.google.fr/maps/place/L'Alchimiste/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e67212563d686f:0x3487581f9fbab0bd!8m2!3d48.8431827!4d2.3855205!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSARFmcmVuY2hfcmVzdGF1cmFudOABAA!16s%2Fg%2F1v3gr6nf?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D","https://www.google.fr/maps/place/L'Alchimiste/@48.8756901,2.3169646,15090m/data=!3m1!1e3!4m12!1m2!2m1!1srestaurant+paris+12!3m8!1s0x47e67212563d686f:0x3487581f9fbab0bd!8m2!3d48.8431827!4d2.3855205!9m1!1b1!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSARFmcmVuY2hfcmVzdGF1cmFudOABAA!16s%2Fg%2F1v3gr6nf?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D","[""Cadre très agréable, accueil au top et repas très copieux. Restaurant qui ne paie pas de mine à l'extérieur, carte qui donne envie de découvrir les plats. Difficile de choisir. Qualité au rendez-vous et prix plus que raisonnable. De très …"", 'Lieu intimiste à la cuisine généreuse et délicieuse, combo gagnant. Un genre de restaurant de plus en plus rare, on s’y sent quasi comme à la maison. Petites attentions et serveur impeccable. Je recommande ! Menu plat dessert le soir, rapport qualité prix imbattable.', 'Tout est super, du service à la cuisine ! On y passe vraiment un très bon moment, les serveur et le gérant sont vraiment agréables.\nBoisson de bienvenue offerte, plats copieux avec une bonne cuisine que l’on …', 'Bon plats, copieux, savoureux et originaux. Desserts moyens.\nPar contre, service à revoir, et j’ai des doutes quant à la propreté de la salle…', ""Excellent restaurant animé par un serveur des plus sympathiques !\nLa cuisine y est à mon goût , pour ma part un bourguignon de 7 heures aux lentilles et au foie gras, pour mon compagnon de table, boudin noir  accompagné d'un …""]"
Ty Louis - Restaurant Breton Paris 12,4.8,€20–40,Restaurant,,"240 Rue du Faubourg Saint-Antoine, 75012 Paris, France","https://www.google.fr/maps/place/Ty+Louis+-+Restaurant+Breton+Paris+12/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e672734626fe0b:0xd972596d84418084!8m2!3d48.8492139!4d2.3895622!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1pp2vk8zw?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D","https://www.google.fr/maps/place/Ty+Louis+-+Restaurant+Breton+Paris+12/@48.8756901,2.3169646,15090m/data=!3m1!1e3!4m12!1m2!2m1!1srestaurant+paris+12!3m8!1s0x47e672734626fe0b:0xd972596d84418084!8m2!3d48.8492139!4d2.3895622!9m1!1b1!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1pp2vk8zw?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D","['Et non, ce n’est pas parce que c’est breton qu’il y a des crêpes, même s’il y a une galette à la carte tout de même. Formule midi Entrée + plat ou plat + dessert à 20 €, les trois plats pour 25€. Petit restaurant bien sympa, bon accueil …', 'Nous sommes venus hier soir pour partager un bon repas! Produits de qualité, du vrai fait maison comme on l’aime. Prix très corrects en ce sens! En plus de cela, nous avons eu un excellent accueil! Les gérants sont passionnés et ça se voit, …', 'Un restaurant breton avec une seule galette au menu pour mieux mettre en avant les produits bretons. Une belle découverte pour ceux qui ne les connaissent pas, un retour aux sources pour les ""bretons parisiens"" qui pourront même acheter des produits dans le petit coin épicerie.', 'Joli petit restaurant où l’on se sent immédiatement bien. Accueil chaleureux. Cuisine excellente à base de produits bretons.', ""Accueil et service au top, ambiance chaleureuse,  une cuisine bretonne originale (ce qui est rare!). Goût et qualité des produits irréprochables. Un seul bémol, la cuisine étant ouverte, on ne peut pas s empêcher de jeter un coup d œil et pour le coup, en fin de service, ce n'était vraiment pas nickel.""]"
Les affranchis,4.5,€20–30,Restaurant,"Old-fashioned brasserie with a terrace offering typical, seasonal fare & happy-hour specials.","14 Av. Daumesnil, 75012 Paris, France","https://www.google.fr/maps/place/Les+affranchis/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e673a1c0b3134d:0x98fc5ab4222de86b!8m2!3d48.8483803!4d2.3725889!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11h3r10f1v?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D","https://www.google.fr/maps/place/Les+affranchis/@48.8756901,2.3169646,15090m/data=!3m1!1e3!4m12!1m2!2m1!1srestaurant+paris+12!3m8!1s0x47e673a1c0b3134d:0x98fc5ab4222de86b!8m2!3d48.8483803!4d2.3725889!9m1!1b1!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11h3r10f1v?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D","[""Restaurant typique brasserie, sympathique, cuisine de qualité et personnel agréable. Dommage que la glace chocolat liégeois soit petite... Je suis gourmand, c'est vrai, mais pour le prix j'aurai espéré davantage. Sinon nous avons passé un bon moment."", 'Nous travaillons à côté, et avons vu que le chef avait changé.\n\nEn effet c’est beaucoup mieux ! Belle carte avec de beaux produits, bien …', ""Une excellente surprise avec ma famille lundi dernier. Le service est excellent, j'ai rarement vu du personnel aussi sympathiques et serviables.\nLa cuisine est très bonne, nous avons essayé le menu du jour ( porc caramélisé …"", 'J’y ai passé une soirée formidable entre amis. L’ambiance est chaleureuse, les plats sont délicieux et réconfortants, l’équipe est souriante. Je recommande cette brasserie très agréable !', ""Je suis une habituée, comme ma famille, depuis des années.\nRécemment, j'ai redouté le changement... Mais à notre agréable surprise, tout va de mieux en mieux. …""]"
L'Ébauchoir,4.7,$$,Bistro,Creatively interpreted French dishes & a long wine list at an unassuming bistro with street tables.,"43-45 Rue de Cîteaux, 75012 Paris, France","https://www.google.fr/maps/place/L'%C3%89bauchoir/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e6720ecfe1b5df:0xfc178888c45f61af!8m2!3d48.8498715!4d2.3811387!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQZiaXN0cm_gAQA!16s%2Fg%2F1vnnhq59?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D","https://www.google.fr/maps/place/L'%C3%89bauchoir/@48.8756901,2.3169646,15090m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e6720ecfe1b5df:0xfc178888c45f61af!8m2!3d48.8498715!4d2.3811387!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQZiaXN0cm_gAQA!16s%2Fg%2F1vnnhq59?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D","[""Super endroit.\nPersonnel hyper sympa.\nCe que l'on mange est très très bon. …"", 'Une très jolie brasserie qui bénéfice d’une grande terrasse au calme.\nUne carte qui ne présage que du bon :\n5 propositions en entrée / 5 en plats et 5 en desserts. L’ensemble des assiettes …', 'Je suis allée manger dans ce superbe bistrot un peu par hasard, suite à la recommendation d’une collègue d’un ami. …']"
Le 217 Brasserie Restaurant,4.7,€20–30,Restaurant,,"217 Av. Daumesnil, 75012 Paris, France","https://www.google.fr/maps/place/Le+217+Brasserie+Restaurant/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e672689e3e1c11:0xfcbc6045189b5ed8!8m2!3d48.8385093!4d2.3991269!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11g6bw84xp?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D","https://www.google.fr/maps/place/Le+217+Brasserie+Restaurant/@48.8756901,2.3169646,15090m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e672689e3e1c11:0xfcbc6045189b5ed8!8m2!3d48.8385093!4d2.3991269!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11g6bw84xp?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D","['Restaurant super sympa ! On a été bien accueilli, servit rapidement et surtout on s’est régalés. J’ai pris un velouté de légumes (délicieux), la bruschetta a la burrata (incroyable) et la creme brulée! Miam mima un vrai regal', 'Un restaurant vraiment parfait en tout point, un service irréprochable avec une touche d’humour du patron qui est chaleureux et souriant, la cuisine est très bonne et tout est fait maison. Et en plus Un steak tartare couper au couteau quoi demander de plus ! Un adresse à retenir. Merci pour ce bon moment.', ""Service exceptionnel, le propriétaire est très gentil et disponible pour satisfaire les envies et besoins de ses clients. Très attentif, cordial et sympa!\nLes plats sont bons et bien exécutés avec un prix correcte et un rapport qualité-prix très élevé. C'est désormais mon restaurant de quartier. Bravo!""]"
Le Touareg,4.6,€20–30,Algerian Restaurant,,"228 Rue de Charenton, 75012 Paris, France","https://www.google.fr/maps/place/Le+Touareg/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e6726b51005c6f:0xc4cef4d64ed882e!8m2!3d48.8397925!4d2.3883199!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSARNhbGdlcmlhbl9yZXN0YXVyYW504AEA!16s%2Fg%2F1v6wnmxk?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D","https://www.google.fr/maps/place/Le+Touareg/@48.8756901,2.3169646,15090m/data=!3m1!1e3!4m12!1m2!2m1!1srestaurant+paris+12!3m8!1s0x47e6726b51005c6f:0xc4cef4d64ed882e!8m2!3d48.8397925!4d2.3883199!9m1!1b1!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSARNhbGdlcmlhbl9yZXN0YXVyYW504AEA!16s%2Fg%2F1v6wnmxk?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D","['Des amis habitant à côté du restaurant, nous y sommes venus plusieurs fois.\nRien à redire sur la cuisine, le couscous est parfait, semoule fine et digeste, légumes très bien cuits et bouillon pas trop gras, le poulet bien grillé et …', 'Très belle découverte\nUne superbe déco,un accueil chaleureux et le couscous un délice\nUn vrai voyage culinaire\nN hésitez pas ,vs ne serez pas déçu', 'Excellent restaurant ,ou je m\'y suis rendu avec mon équipe. A l\'unanimité il a remporter un succès positif.\nTout était au rendez vous Cadre ,ambiance ,qualité de l\'accueil .un Franc Succès ❤️❤️.Si vous voulez vous assurer de déjeuner / dîner le seul conseil à donner est ""Réserver "".', 'Deuxième visite et ça ne sera certainement pas la dernière. Magnifique endroit au cœur de Paris si vous avez une envie de couscous, tagine, différentes entrées algériennes … En plus de ces délicieux plats, la décoration et la musique vous font voyager. Excellent restaurant avec une équipe souriante et au petit soin.', 'Très très bonne cuisine couscous excellent tajine super bon et thé gourmand top nous étions 11 et tout le monde a dit la même chose très bon']"
Chez Addy & Ida,4.6,€20–30,Restaurant,,"4 Rue Jaucourt, 75012 Paris, France","https://www.google.fr/maps/place/Chez+Addy+%26+Ida/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e6735b12235d3b:0x98b38d01fdf9850a!8m2!3d48.8464843!4d2.3947077!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11gykqgtl6?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D","https://www.google.fr/maps/place/Chez+Addy+%26+Ida/@48.8756901,2.3169646,15090m/data=!3m1!1e3!4m12!1m2!2m1!1srestaurant+paris+12!3m8!1s0x47e6735b12235d3b:0x98b38d01fdf9850a!8m2!3d48.8464843!4d2.3947077!9m1!1b1!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11gykqgtl6?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D","['Un accueil chaleureux. Pas de hichis . Ici on cuisine. Pas un restaurant a Bobos. Un vrai restaurant de gourmets et de gourmands. La cuisinière, visiblement des pays de l est , une carte 50/50 des tendances cuisine française et juive. Peu …', 'Un restaurant de quartier qui vaut le détour !\nLe lieu : dans une rue au calme peu de passage possibilité de manger en terrasse avec un décor très familial qui représente bien le lieu ! …', 'Repas du midi, plats assez copieux, de qualité et faits maison. Petite terrasse sympa et service agréable.', 'Restaurant très agréable, plats originaux, accueil chaleureux, nous reviendrons!', 'Des plats copieux et très bien cuisinés ! Une carte originale et où tout le monde y trouve son compte ! Je recommande, nous y mangeons très biens !']"
À la Biche au Bois,4.5,€40–50,French restaurant,"Typical French fare like terrine & braised chicken, turned out in a relaxed setup.","45 Av. Ledru Rollin, 75012 Paris, France","https://www.google.fr/maps/place/%C3%80+la+Biche+au+Bois/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e6720379e9ab89:0x27608256db06b821!8m2!3d48.848029!4d2.371106!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSARFmcmVuY2hfcmVzdGF1cmFudOABAA!16s%2Fg%2F1tjyn0l3?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D","https://www.google.fr/maps/place/%C3%80+la+Biche+au+Bois/@48.8756901,2.3169646,15090m/data=!3m1!1e3!4m12!1m2!2m1!1srestaurant+paris+12!3m8!1s0x47e6720379e9ab89:0x27608256db06b821!8m2!3d48.848029!4d2.371106!9m1!1b1!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSARFmcmVuY2hfcmVzdGF1cmFudOABAA!16s%2Fg%2F1tjyn0l3?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D","['Très bonne brasserie proposant des plats originaux de gibier et globalement une carte avec des bons produits bien travaillés. Services souriant et pro, un bon moment pour sortir des plats traditionnels.', 'Bonne cuisine. Un peu au dessus du rapport qualité-prix. Service un peu long. Bruyant et exiguë', ""Le poisson n'est pas assez frais, il a un goût. Par contre, le plat principal à base de viande est très bon, et le service est impeccable."", 'Nous avons mangé avec mon compagnon ce soir dans ce restaurant.\nLaissez moi dire que c’est un EXCELLENT restaurant.\nLa qualité des plats est vraiment très élevée. Le rapport qualité prix est plus …', ""Intrigué par la carte, notamment par les oiseaux sauvages, je suis allé deux fois dans ce petit restaurant informel et accueillant.\nL'endroit est petit mais les miroirs recouvrant tout un mur ne le rendent pas …""]"
CHARLETPERRIN,4.4,€20–30,French restaurant,Classic French dishes like tartare & duck breast offered in a casual brasserie with sidewalk tables.,"17 Rue Michel Chasles, 75012 Paris, France","https://www.google.fr/maps/place/CHARLETPERRIN/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e67204f73b757f:0x76e73ee40f33a63a!8m2!3d48.8477047!4d2.3736278!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSARFmcmVuY2hfcmVzdGF1cmFudOABAA!16s%2Fg%2F1tdp4b_2?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D","https://www.google.fr/maps/place/CHARLETPERRIN/@48.8756901,2.3169646,15090m/data=!3m1!1e3!4m12!1m2!2m1!1srestaurant+paris+12!3m8!1s0x47e67204f73b757f:0x76e73ee40f33a63a!8m2!3d48.8477047!4d2.3736278!9m1!1b1!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSARFmcmVuY2hfcmVzdGF1cmFudOABAA!16s%2Fg%2F1tdp4b_2?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D","['Vraiment ravis de notre soirée dans ce restaurant pour un anniversaire ! Les prix sont plus que corrects, je conseille sans hésiter la bavette. Et les desserts très gourmands. …', ""Pas mal du tout ce petit restaurant :)\nLa décoration est belle, le cadre est intéressant.\nBon rapport qualité-prix, il n'y a rien à redire sur l'ensemble de la …"", 'Beau lieu, personnel sympathique. J ai trouvé les prix assez cher par rapport à la qualité des plats. C est correct mais sans plus. Faudrait que j essaye un autre plat pour revoir.', ""J'ai eu le plaisir de déjeuner chez CHARLETPERRIN et l'expérience a été incroyable. …"", 'Nous sommes allés à Paris en septembre 2023 et notre appartement était près du Charletperrin! Nous sommes allés au moins 5 fois dans notre séjour car nous avons adoré ! Prix abordables, nourriture très bonne ! Le proprio et les serveurs …']"
Cantine La Planque,4.4,€20–30,Bistro,,"6 Place Félix Eboué, 75012 Paris, France","https://www.google.fr/maps/place/Cantine+La+Planque/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e67269254d0e47:0x8c446bd82d80eea!8m2!3d48.8391879!4d2.3956367!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQZiaXN0cm_gAQA!16s%2Fg%2F1tgkgl_5?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D","https://www.google.fr/maps/place/Cantine+La+Planque/@48.8756901,2.3169646,15090m/data=!3m1!1e3!4m12!1m2!2m1!1srestaurant+paris+12!3m8!1s0x47e67269254d0e47:0x8c446bd82d80eea!8m2!3d48.8391879!4d2.3956367!9m1!1b1!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQZiaXN0cm_gAQA!16s%2Fg%2F1tgkgl_5?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D","['Super expérience à La Planque ! L’ambiance y est chaleureuse et conviviale, parfaite pour une soirée entre amis ou en famille. Et bien sûr, les plats étaient délicieux et bien présentés. Un vrai coup de cœur ! Je recommande vivement !', 'L’adresse avait l’air sympa avec une menu proche de ce qui se fait dans les bouillons. Serveur dynamique mais patron pas du tout souriant. J’ai commandé le plat du jour saucisse de morteau purée : peu de tranches et très fines, pas …', 'Deuxième fois que je retourne à la Cantine de La Planque\n\nOn y mange bien, le soir le service est rapide et efficace. …', 'On adore venir se planquer régulièrement avec mes cousines et mes tantes. L’accueil est agréable avec une pointe d’humour dont on garde de merveilleux souvenirs en famille. Les plats du jour sont variés comme les plats de la carte et les …', 'Une valeur sûre dans le quartier ! Tout est fait maison et la décoration est très cosy. On mange bien et on est plutôt bien accueilli. Une carte soignée et des plats du jour en nombre. Les plats sont copieux et les prix raisonnables. A tester si vous êtes dans le coin.']"
